Building Number,ADDRESS,Block #,Red Tags,TAG_COLOR,Building Use,Building Area (sqft),Year Built,Age (years),Value ($),Permit Issued Date,Permit Finaled Date,Time Interval (days),Time Interval (months),INITIAL_DAMAGE_DESCRIPTION,Chimney,Foundation,Damage State,Latitude,Longitude,PH_ENGLISH,PH_NO18UNDER,PASIAN,PHISLAT,PAFRICAN,INCOME,PHU_OWNED,PHIGHSCH_DIPLOMA,,
1,2655 NAPA VALLEY CORPORATE DR,East,0,Yellow,Commercial,60000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Decorative non bearing wall collapse in front of building,0,0,2,38.252235,-122.276028,95.8677686,43.80165289,55.19412382,14.69045121,0.629590766,44222,85.12396694,78.93030794,,
2,831 LATOUR CT,East,0,Yellow,Commercial,60000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"T-bar ceiling down, HVAC register not supported by slack wires",0,0,2,38.25562,-122.272832,95.8677686,43.80165289,55.19412382,14.69045121,0.629590766,44222,85.12396694,78.93030794,,
3,860 LATOUR CT,East,0,Yellow,Commercial,20000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"entry not restricted, employees to take care where T-bar ceiling is down",0,0,2,38.256963,-122.273943,95.8677686,43.80165289,55.19412382,14.69045121,0.629590766,44222,85.12396694,78.93030794,,
4,902 ENTERPRISE WAY,East,0,Yellow,Commercial,10000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Obtain engineer evaluation for cracks in concrete wall panels,0,0,2,38.258728,-122.271725,56.41025641,100,4.473161034,12.32604374,18.68787276,4788,0,65.72029443,,
5,1266 RIVER PARK BLVD,South,0,Yellow,Residential,1728,1970,46,"$721,100",1/12/15,2/17/15,35,1.2,"Minor drywall cracking, cracks in chimney at roof line and firebox. Do not use chimney until repair",1,0,1,38.278174,-122.285368,98.35924007,76.33851468,5.806451613,18.02656546,5.161290323,42730,49.30915371,92.68418341,,
6,1360 RIVER PARK BLVD,South,0,Yellow,Residential,1728,1972,44,"$648,400",NaN,NaN,NaN,NaN,Chimney cracks,0,0,1,38.278132,-122.286463,98.35924007,76.33851468,5.806451613,18.02656546,5.161290323,42730,49.30915371,92.68418341,,
7,1525 W IMOLA AVE,South,0,Yellow,Commercial,10000,NaN,NaN,NaN,11/12/14,7/25/15,253,8.4,Crack in tension side of beam on aisle,0,0,2,38.28088,-122.291722,98.35924007,76.33851468,5.806451613,18.02656546,5.161290323,42730,49.30915371,92.68418341,,
8,2261 EVA ST,South,0,Yellow,Residential,1274,1955,61,"$465,300",9/30/14,10/16/14,16,0.5,chimney damage-int. face fell-no use side yard adj. to chimney ,1,0,2,38.27866,-122.295215,98.35924007,76.33851468,5.806451613,18.02656546,5.161290323,42730,49.30915371,92.68418341,,
9,717 S MINAHEN ST,South,0,Yellow,Residential,1287,1970,46,"$442,800",NaN,NaN,NaN,NaN,Horizontal crack at chimney ,1,0,1,38.278143,-122.296806,98.35924007,76.33851468,5.806451613,18.02656546,5.161290323,42730,49.30915371,92.68418341,,
10,607 S MINAHEN ST,South,0,Yellow,Residential,1268,1955,61,"$439,600",5/12/15,expired on 8/31/16,NaN,NaN,"Interior collapse of chimney bricks, removed exterior displacement of chimney ",1,0,2,38.279145,-122.296324,98.35924007,76.33851468,5.806451613,18.02656546,5.161290323,42730,49.30915371,92.68418341,,
