OBJECTID,Building Occupancy,Building Address,Building Area/Neighborhood,Building Latitude,Building Longitude,Original Entry Date,Orignial Placard,Revision Entry Date,Updated Placard,Description,,,,,,,,,
1,RESIDENCE,412 WALNUT,ST. MARE ISLAND,38.10120394,-122.2749611,2014-08-24,YELLOW,,,CHIMNEY DAMAGE,,,,,,,,,
2,RESIDENCE,416 WALNUT,ST. MARE ISLAND,38.10114409,-122.2749058,2014-08-24,YELLOW,,,CHIMNEY DAMAGE,,,,,,,,,
3,RESIDENCE,500 WALNUT,ST. MARE ISLAND,38.09977236,-122.2736361,2014-08-24,YELLOW,,,CHIMNEY DAMAGE,,,,,,,,,
4,RESIDENCE,1035 WALNUT,ST. MARE ISLAND,38.09506336,-122.2698572,2014-08-24,YELLOW,,,CHIMNEY DAMAGE,,,,,,,,,
5,RESIDENCE,522 WALNUT,ST. MARE ISLAND,38.09956859,-122.273438,2014-08-24,YELLOW,,,CHIMNEY DAMAGE,,,,,,,,,
6,RESIDENCE,700 WALNUT,ST. MARE ISLAND,38.10537387,-122.2786631,2014-08-24,YELLOW,,,CHIMNEY DAMAGE,,,,,,,,,
7,RESIDENCE,1061 WALNUT,ST. MARE ISLAND,38.0948274,-122.2699058,2014-08-24,YELLOW,,,CHIMNEY DAMAGE,,,,,,,,,
8,RESIDENCE,800 WALNUT,ST. MARE ISLAND,38.10391655,-122.277335,2014-08-24,YELLOW,,,CHIMNEY DAMAGE,,,,,,,,,
9,RESIDENCE,1125 WALNUT,ST. MARE ISLAND,38.09424312,-122.2700296,2014-08-24,GREEN,,,NO NOTABLE DAMAGE,,,,,,,,,
10,RESIDENCE,1155 WALNUT,ST. MARE ISLAND,38.09396924,-122.2700876,2014-08-24,YELLOW,,,CHIMNEY DAMAGE,,,,,,,,,
11,RESIDENCE,822 WALNUT,ST. MARE ISLAND,38.10338776,-122.2768567,2014-08-24,GREEN,,,NO NOTABLE DAMAGE,,,,,,,,,
12,RESIDENCE,1085 WALNUT,ST. MARE ISLAND,38.09460829,-122.2699523,2014-08-24,GREEN,,,NO NOTABLE DAMAGE,,,,,,,,,
13,RESIDENCE,1061 WALNUT,ST. MARE ISLAND,38.0948274,-122.2699058,2014-08-24,YELLOW,,,CHIMNEY DAMAGE,,,,,,,,,
14,RESIDENCE,1155 NIMITZ,ST. MARE ISLAND,38.09630422,-122.2674697,2014-08-24,YELLOW,,,CHIMNEY DAMAGE,,,,,,,,,
15,COMMERCIAL,1155 NIMITZ - BLDG 106,ST. MARE ISLAND,38.09630422,-122.2674697,2014-08-24,RED,,,BRICK DAMAGE,,,,,,,,,
16,COMMERCIAL,1156 NIMITZ - BLDG 750,ST. MARE ISLAND,38.09633608,-122.2674144,2014-08-24,YELLOW,,,WATER DAMAGE SPRINKLERS,,,,,,,,,
17,COMMERCIAL,1275 NIMITZ - BLDG 678,ST. MARE ISLAND,38.09468975,-122.2659702,2014-08-24,YELLOW,,,"ROLL UP DOORS OFF TRACK, SPRINKLERS ACTIVIATED",,,,,,,,,
18,COMMERCIAL,1158 NIMITZ - BLDG 118,ST. MARE ISLAND,38.09627108,-122.267354,2014-08-24,RED,,,MASONRY FAILURE,,,,,,,,,
19,COMMERCIAL,1175 NIMITZ,ST. MARE ISLAND,38.09606475,-122.2672471,2014-08-24,YELLOW,,,"ROLL UP DOORS OFF TRACK, SPRINKLERS ACTIVIATED",,,,,,,,,
20,RESIDENCE,1451 AZUAR,ST. MARE ISLAND,38.08841461,-122.2655725,2014-08-24,YELLOW,,,CHIMNEY DAMAGE (2),,,,,,,,,
21,RESIDENCE,1441 AZUAR,ST. MARE ISLAND,38.08846143,-122.2655988,2014-08-24,YELLOW,,,CHIMNEY DAMAGE (2),,,,,,,,,
22,RESIDENCE,1338 FARRELL,,38.09764117,-122.2387246,2014-08-24,YELLOW,,,CHIMNEY DAMAGE,,,,,,,,,
23,RESIDENCE,1137 FLORIDA,,38.10490849,-122.2475199,2014-08-24,YELLOW,,,CHIMNEY DAMAGE,,,,,,,,,
24,RESIDENCE,1502 FLORIDA,,38.10489728,-122.2422647,2014-08-24,YELLOW,,,CHIMNEY DAMAGE,,,,,,,,,
25,RESIDENCE,1508 FLORIDA,,38.10489623,-122.2422163,2014-08-24,YELLOW,,,CHIMNEY DAMAGE,,,,,,,,,
26,RESIDENCE,1514 FLORIDA,,38.10489518,-122.2421679,2014-08-24,YELLOW,,,CHIMNEY DAMAGE,,,,,,,,,
27,RESIDENCE,1520 FLORIDA,,38.10489413,-122.2421195,2014-08-24,YELLOW,,,CHIMNEY DAMAGE,,,,,,,,,
28,RESIDENCE,1527 FLORIDA,,38.10483914,-122.2420731,2014-08-24,YELLOW,,,CHIMNEY DAMAGE,,,,,,,,,
29,RESIDENCE,1600 FLORIDA,,38.10487619,-122.2412625,2014-08-24,YELLOW,,,CHIMNEY DAMAGE,,,,,,,,,
30,RESIDENCE,1614 FLORIDA,,38.10487417,-122.2411338,2014-08-24,YELLOW,,,CHIMNEY DAMAGE,,,,,,,,,
31,RESIDENCE,526 CONTRA COSTA,,38.10525107,-122.241334,2014-08-24,YELLOW,,,CHIMNEY DAMAGE,,,,,,,,,
32,RESIDENCE,521 CONTRA COSTA,,38.10518036,-122.2414042,2014-08-24,YELLOW,,,CHIMNEY DAMAGE,,,,,,,,,
33,RESIDENCE,545 GEORGIA,NO ACCESS,38.10104535,-122.2541855,2014-08-24,,,,,,,,,,,,,
34,RESIDENCE,1305 TENNESSEE ST,,38.10979292,-122.2421302,2014-08-24,,,,CHIMNEY DAMAGE,,,,,,,,,
35,RESIDENCE,31 CARROLL ST,,38.11070202,-122.2413248,2014-08-24,,,,CHIMNEY DAMAGE,,,,,,,,,
36,RESIDENCE,532 OHIO ST,,38.10706793,-122.2569486,2014-08-24,,,,CHIMNEY DAMAGE,,,,,,,,,
37,RESIDENCE,530 OHIO ST,,38.10706793,-122.257099,2014-08-24,YELLOW,,,CHIMNEY DAMAGE,,,,,,,,,
38,COMMERCIAL,730 TENNESSEE ST,,38.10995842,-122.2502387,2014-08-24,RED,,,ROOF TILES FAILING,,,,,,,,,
39,COMMERCIAL,100-700 TENNESSE ST,,38.11012858,-122.2612923,2014-08-24,TAPED OFF,,,"BROKEN GLASS, MISC DAMAGE",,,,,,,,,
40,COMMERCIAL,702 TENNESSEE ST,,38.10996775,-122.2510686,2014-08-24,GREEN,,,NO NOTABLE DAMAGE,,,,,,,,,
41,COMMERCIAL,1101 RAILROAD,,38.10083059,-122.2549457,2014-08-24,RED,,,"STRUCTURAL, BRICK FAILURE AND WATER LEAKS",,,,,,,,,
42,COMMERCIAL,875 NIMITZ,,38.10283659,-122.2731868,2014-08-24,GREEN,,,,,,,,,,,,
43,MULTI-FAMILY APT,901 GEORGIA,,38.10097425,-122.2481632,2014-08-24,YELLOW,,,,,,,,,,,,
44,PUBLIC-FIRE TRAINING CNTR,703 CURTOLA,FIRE TRAINING CENTER,38.09696151,-122.2482468,2014-08-24,,,,,,,,,,,,,
45,COMMERCIAL,435 VIRGINIA,,38.10206746,-122.255962,2014-08-24,RED,,,,,,,,,,,,
46,,426 VIRGINIA,,38.10212267,-122.2560787,2014-08-24,GREEN,,,,,,,,,,,,
47,COMMERCIAL,430 VIRGINIA,,38.10212204,-122.2560199,2014-08-24,RED,,,,,,,,,,,,
48,,1328 RYDER,CAUTION TAPE,38.09821375,-122.2394251,2014-08-24,,,,,,,,,,,,,
49,,1412 FARRELL,,38.09822241,-122.2377226,2014-08-24,YELLOW,,,CHIMNEY DAMAGE,,,,,,,,,
50,COMMERCIAL,STATION 26 BEDFORD,,38.10083059,-122.2549457,2014-08-24,GREEN,,,,,,,,,,,,
51,MIXED USE,428 GEORGIA,,38.10112272,-122.2557013,2014-08-24,RED,,,,,,,,,,,,
52,,436 GEORGIA,,38.10111619,-122.2553531,2014-08-24,RED,,,,,,,,,,,,
53,RESIDENCE,1314 MARIN,,38.10836063,-122.2563982,2014-08-24,YELLOW,,,"CHIMNEY DAMAGE, BRICKS SEPARATED",,,,,,,,,
54,RESIDENCE,4010 EL DORADO,,38.10931024,-122.2497316,2014-08-24,GREEN,,,CHIMNEY DAMAGE,,,,,,,,,
55,,355 TOULUMNE,,38.10259373,-122.238257,2014-08-24,,,,,,,,,,,,,
