SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,524 Putah Creek Rd,Napa,CA,94558,439950,4,3,Berryessa,2736,16265,1979,1,161,,Active,,,http://www.redfin.com/CA/Napa/524-Putah-Creek-Rd-94558/home/12198019,BAREIS,21804924,N,Y,38.606359,-122.278686
MLS Listing,,Single Family Residential,2176 Patton Ave,Napa,CA,94559,575000,3,3,Napa,1575,7240,1993,1,365,,Active,March-24-2018 01:00 PM,March-24-2018 03:00 PM,http://www.redfin.com/CA/Napa/2176-Patton-Ave-94559/home/12213263,BAREIS,21806482,N,Y,38.2808816,-122.2564601
MLS Listing,,Single Family Residential,1159 Green Valley Rd,Napa,CA,94558,4250000,4,3,Napa,3055,834610,1979,1,1391,,Active,,,http://www.redfin.com/CA/Napa/1159-Green-Valley-Rd-94558/home/28512199,BAREIS,21806453,N,Y,38.290462,-122.2273122
MLS Listing,,Single Family Residential,78 S Newport Dr,Napa,CA,94559,1185000,3,2.5,Napa,2129,5001,1995,1,557,201,Active,March-25-2018 02:00 PM,March-25-2018 04:00 PM,http://www.redfin.com/CA/Napa/78-S-Newport-Dr-94559/home/12210068,BAREIS,21806504,N,Y,38.2751457,-122.2895345
MLS Listing,,Single Family Residential,107 Sage Way,Napa,CA,94559,869000,4,3,Napa,2777,5310,2001,1,313,,Active,March-25-2018 12:00 PM,March-25-2018 02:00 PM,http://www.redfin.com/CA/Napa/107-Sage-Way-94559/home/12220769,BAREIS,21806443,N,Y,38.2930843,-122.2721457
MLS Listing,,Single Family Residential,1301 Bella Oaks Ln,Rutherford,CA,94558,7900000,4,5,Rutherford,4329,27630,1927,2,1825,,Active,,,http://www.redfin.com/CA/Napa/1301-Bella-Oaks-Ln-94558/home/12200263,BAREIS,21802533,N,Y,38.4475229,-122.4178356
MLS Listing,,Single Family Residential,1945 Capell Valley Rd,Napa,CA,94558,997000,3,2,Berryessa,1500,10454400,,2,665,,Active,,,http://www.redfin.com/CA/Napa/1945-Capell-Valley-Rd-94558/home/145166352,BAREIS,21806174,N,Y,38.4697513,-122.2262148
MLS Listing,,Single Family Residential,4444 Moffitt Dr,Napa,CA,94558,649000,4,2,Napa,1324,6447,1970,2,490,,Active,March-24-2018 12:00 PM,March-24-2018 02:00 PM,http://www.redfin.com/CA/Napa/4444-Moffitt-Dr-94558/home/12202117,BAREIS,21806396,N,Y,38.3439568,-122.3201851
MLS Listing,,Single Family Residential,1123 La Londe Ln,Napa,CA,94558,925000,3,2,Napa,1545,42545,1941,4,599,,Active,,,http://www.redfin.com/CA/Napa/1123-La-Londe-Ln-94558/home/12216050,BAREIS,21806215,N,Y,38.32002,-122.249012
MLS Listing,,Single Family Residential,4025 Fairfax Dr,Napa,CA,94558,735000,4,2.5,Napa,2169,6578,1975,5,339,,Active,,,http://www.redfin.com/CA/Napa/4025-Fairfax-Dr-94558/home/12192490,BAREIS,21806071,N,Y,38.3290139,-122.3226872
MLS Listing,,Single Family Residential,1022 Partrick Rd,Napa,CA,94558,1300000,4,3,Napa,2627,18064,1978,5,495,,Active,,,http://www.redfin.com/CA/Napa/1022-Partrick-Rd-94558/home/12206629,BAREIS,21805904,N,Y,38.3077234,-122.3430343
MLS Listing,,Single Family Residential,,Napa,CA,94559,899000,4,2,,,32396,,5,,,Active,,,http://www.redfin.com/CA/Napa/Undisclosed-address-94559/home/12189709,BAREIS,21805518,N,Y,38.2872431,-122.298859
MLS Listing,,Single Family Residential,2029 Lone Oak Ave,Napa,CA,94558,887500,3,2,Napa,2330,11430,1947,6,381,,Active,,,http://www.redfin.com/CA/Napa/2029-Lone-Oak-Ave-94558/home/12208760,BAREIS,21806145,N,Y,38.3080584,-122.3070533
MLS Listing,,Single Family Residential,2902 Sunrise Dr,Napa,CA,94558,529000,2,1,Napa,891,5920,1951,6,594,,Active,,,http://www.redfin.com/CA/Napa/2902-Sunrise-Dr-94558/home/12189066,BAREIS,21805992,N,Y,38.2896935,-122.3103752
MLS Listing,,Single Family Residential,,Napa,CA,94558,685000,5,3,,3144,10955,1995,6,218,29,Active,,,http://www.redfin.com/CA/Napa/Undisclosed-address-94558/home/12200889,BAREIS,21803277,N,Y,38.407251,-122.208637
MLS Listing,,Single Family Residential,5271 Dry Creek Rd,Napa,CA,94558,765000,2,1,Napa,1104,820235,1966,7,693,,Active,,,http://www.redfin.com/CA/Napa/5271-Dry-Creek-Rd-94558/home/12201403,BAREIS,21805687,N,Y,38.382433,-122.402908
